apprehensionstate	citizenshipcountry	arrestsbiden	arrests_perdaybiden	arreststrump	arrests_perdaytrump	popACS2023	popACS2024	ln2023	ln2024	predicted	predicted_level	pop_combined	pct_peryear_biden	pct_peryear_trump
"WISCONSIN"	"HONDURAS"	58	.1146245	30	.1578947	2225	4827	7.707512	8.48198	7.950128	2835.937	4827	.0086675	.0119394
"WISCONSIN"	"INDIA"	4	.0079051	3	.0157895	23242	23862	10.05372	10.08004	10.1274	25019.12	23862	.0001209	.0002415
"WISCONSIN"	"JAMAICA"	3	.0059289	3	.0157895	1528	1406	7.331715	7.248504	7.427619	1681.799	1406	.0015391	.004099
"WISCONSIN"	"MEXICO"	415	.8201581	271	1.426316	90578	89589	11.41397	11.40299	11.44686	93607.16	89589	.0033415	.005811
"WISCONSIN"	"NICARAGUA"	505	.9980237	135	.7105263	3494	10732	8.158802	9.280985	8.67078	5830.046	10732	.0339432	.0241653
"WISCONSIN"	"PERU"	6	.0118577	2	.0105263	2262	1186	7.724005	7.078341	7.843352	2548.733	1186	.0036493	.0032395
"WISCONSIN"	"ROMANIA"	7	.013834	1	.0052632	1307	675	7.17549	6.514713	7.113852	1228.871	675	.0074806	.002846
"WISCONSIN"	"RUSSIA"	2	.0039526			3799	4973	8.242494	8.511779	8.145029	3446.206	4973	.0002901	
"WISCONSIN"	"VENEZUELA"	28	.055336	49	.2578947	2897	3759	7.971431	8.231908	8.702139	6015.766	3759	.0053731	.0250417
"WYOMING"	"BOLIVIA"			1	.0052632	2		.6931472		.5978523	1.81821	1.81821		1.056563
"WYOMING"	"COLOMBIA"	7	.013834	12	.0631579	378		5.934894		6.544619	695.4914	695.4914	.0072602	.0331458
"WYOMING"	"CUBA"	2	.0039526	1	.0052632	74		4.304065		5.131322	169.2408	169.2408	.0085245	.011351
"WYOMING"	"DOMINICAN REPUBLIC"	1	.0019763			5		1.609438		1.402802	4.066579	4.066579	.1773835	
"WYOMING"	"ECUADOR"			1	.0052632	94		4.543295		4.837662	126.174	126.174		.0152254
